1-14 Jan 2024, Surlari, B-z
Time (Days)             B-z (nT)
1.3125                  43231.2                  
1.3131944               43231.5                  
1.3138889               43231.4                  
1.3145833               43231.3                  
1.3152778               43231.1                  
1.3159722               43231.5                  
1.3166667               43231                    
1.3173611               43231.3                  
1.3180556               43231.3                  
1.31875                 43231.2                  
1.3194444               43231.4                  
1.3201389               43231.8                  
1.3208333               43231.2                  
1.3215278               43231.3                  
1.3222222               43231.2                  
1.3229167               43231.4                  
1.3236111               43231.6                  
1.3243056               43231.6                  
1.325                   43231.6                  
1.3256944               43231.6                  
1.3263889               43231.6                  
1.3270833               43231.8                  
1.3277778               43230.9                  
1.3284722               43231.1                  
1.3291667               43230.9                  
1.3298611               43231.1                  
1.3305556               43231.1                  
1.33125                 43231                    
1.3319444               43231.1                  
1.3326389               43231.3                  
1.3333333               43231.4                  
1.3340278               43231.6                  
1.3347222               43231.5                  
1.3354167               43231.2                  
1.3361111               43231.3                  
1.3368056               43231.3                  
1.3375                  43231.4                  
1.3381944               43231.2                  
1.3388889               43231.5                  
1.3395833               43231.3                  
1.3402778               43231.3                  
1.3409722               43231.5                  
1.3416667               43231.5                  
1.3423611               43231.3                  
1.3430556               43231.3                  
1.34375                 43231.2                  
1.3444444               43231.2                  
1.3451389               43230.9                  
1.3458333               43231                    
1.3465278               43230.9                  
1.3472222               43230.9                  
1.3479167               43231.3                  
1.3486111               43230.9                  
1.3493056               43231                    
1.35                    43230.8                  
1.3506944               43230.9                  
1.3513889               43230.9                  
1.3520833               43230.9                  
1.3527778               43230.8                  
1.3534722               43231                    
1.3541667               43230.6                  
1.3548611               43231.3                  
1.3555556               43230.9                  
1.35625                 43230.8                  
1.3569444               43230.6                  
1.3576389               43231.1                  
1.3583333               43231.1                  
1.3590278               43231.1                  
1.3597222               43230.8                  
1.3604167               43231                    
1.3611111               43230.7                  
1.3618056               43231                    
1.3625                  43230.6                  
1.3631944               43230.8                  
1.3638889               43230.6                  
1.3645833               43230.8                  
1.3652778               43230.9                  
1.3659722               43230.9                  
1.3666667               43230.8                  
1.3673611               43230.5                  
1.3680556               43230.5                  
1.36875                 43230.6                  
