1-14 Jan 2024, Surlari, B-y
Time (Days)             B-y (nT)
1.5729167               2445.77                  
1.5736111               2445.77                  
1.5743056               2446.04                  
1.575                   2445.27                  
1.5756944               2445.69                  
1.5763889               2445.57                  
1.5770833               2445.29                  
1.5777778               2445.73                  
1.5784722               2445.45                  
1.5791667               2445.72                  
1.5798611               2445.51                  
1.5805556               2445.63                  
1.58125                 2445.5                   
1.5819444               2445.07                  
1.5826389               2444.91                  
1.5833333               2445.17                  
1.5840278               2444.95                  
1.5847222               2445.06                  
1.5854167               2444.45                  
1.5861111               2444.58                  
1.5868056               2444.39                  
1.5875                  2444.34                  
1.5881944               2444.49                  
1.5888889               2444.18                  
1.5895833               2444.29                  
1.5902778               2444.5                   
1.5909722               2444.4                   
1.5916667               2444.43                  
1.5923611               2444.37                  
1.5930556               2444.1                   
1.59375                 2443.72                  
1.5944444               2443.38                  
1.5951389               2443.07                  
1.5958333               2442.88                  
1.5965278               2443.44                  
1.5972222               2443.5                   
1.5979167               2443.3                   
1.5986111               2443.59                  
1.5993056               2443.59                  
1.6                     2443.34                  
1.6006944               2443.17                  
1.6013889               2442.3                   
1.6020833               2442.21                  
1.6027778               2441.57                  
1.6034722               2441.77                  
1.6041667               2441.62                  
1.6048611               2441.5                   
1.6055556               2441.76                  
1.60625                 2441.82                  
1.6069444               2441.8                   
1.6076389               2441.7                   
1.6083333               2441.79                  
1.6090278               2441.47                  
1.6097222               2441.22                  
1.6104167               2441.2                   
1.6111111               2440.89                  
1.6118056               2440.18                  
1.6125                  2440.33                  
1.6131944               2440.25                  
1.6138889               2440.03                  
1.6145833               2439.63                  
1.6152778               2439.86                  
1.6159722               2439.79                  
1.6166667               2439.52                  
1.6173611               2440.05                  
1.6180556               2440.22                  
1.61875                 2440.06                  
1.6194444               2440.36                  
1.6201389               2440.39                  
1.6208333               2440.8                   
1.6215278               2440.14                  
1.6222222               2440.13                  
1.6229167               2439.74                  
1.6236111               2439.39                  
1.6243056               2439.53                  
